Title,Date,Author
'UN report on 2021 Israel-Hamas fighting belongs in the trash',2022-10-25,Ariel Kahana
"IDF eliminates Nablus terror group leader, destroys explosives lab",2022-10-25,"Hanan Greenwood, Dana Ben-Shimon and Itsik Saban"
'I intend to achieve peace with Saudi Arabia',2022-10-24,Alex Traiman/JNS
Labor leader faces backlash over 'Judea and Samaria will not be part of Israel' remark,2022-10-24,i24NEWS and ILH Staff
Clashes at Tehran university after female students enter hall without hijabs,2022-10-24,i24NEWS and ILH Staff
Sunak poised to enter 10 Downing Street as race all but over,2022-10-24,Neta Bar and AP
Lapid pledges support for Albania in wake of Iranian cyberattacks,2022-10-24,Tamir Morag and News Agencies
Herzi Halevi approved as next IDF chief of staff,2022-10-24,"Lilach Shoval, Tamir Morag and JNS"
Far-right MK calls Netanyahu 'liar' in leaked recording,2022-10-24,Yehuda Shlezinger and i24NEWS
Court set to decide fate of unborn in mistaken IVF case,2022-10-23,ILH Staff
Why as a former Israeli minister I stand with Azerbaijan,2022-10-23,Ayoob Kara
"High Court says lame-duck gov't may sign Lebanese gas deal, paving way for final vote",2022-10-23,"AP, Reuters and ILH Staff"
"Israeli military aid to Ukraine? Yes, but not at the expense of security",2022-10-23,Yoav Limor
A Netanyahu comeback? Likud optimism tested by reality,2022-10-23,Mati Tuchfeld
Lion's Den terrorist group vows 'harsh' revenge as senior member reportedly killed,2022-10-23,Dana Ben-Shimon and Lilach Shoval
Boris Johnson eyes comeback as PM Truss resigns after 45 days in office,2022-10-21,AP and ILH Staff
"'Growing up with Holocaust trauma, I never heard of Jewish heroines standing up to Nazis'",2022-10-21,Eldad Beck
Israel should be careful not to get bogged down in Ukrainian quagmire,2022-10-21,Ariel Kahana
"Ukraine foreign minister, Lapid 'discuss in detail' Kyiv's air defense system request",2022-10-21,Reuters and ILH Staff
Former US envoy visits Gush Etzion's Arugot Farms,2022-10-21,ILH Staff
No mention of Hamas: Israel slams 'biased' UN report on May 2021 fighting,2022-10-21,Tamir Morag
Terrorist killed as Israeli forces operating in Jenin come under fire,2022-10-21,ILH Staff
Ishay Ribo performs Sukkot concert under Yeshiva University auspices,2022-10-20,ILH Staff
Israeli film takes top prize at NYC's Chelsea Film Fest,2022-10-20,i24NEWS and ILH Staff
"The security agencies failed, praise should go to civilian guards",2022-10-20,Lilach Shoval
"After decade-long rift, Hamas announces restoration of ties with Syria",2022-10-20,Reuters and ILH Staff
Report: Russia reducing forces in Syria due to Ukraine war,2022-10-20,ILH Staff
Is Israel edging toward air defense assistance for Ukraine?,2022-10-20,Reuters and ILH Staff
Fugitive terrorist behind deadly Jerusalem checkpoint attack killed,2022-10-20,"Hanan Greenwood, Yori Yalon and News Agencies"
10 reasons the Israel-Lebanon gas deal smells foul,2022-10-19,Alex Traiman/JNS
Australian PM concedes west Jerusalem walkback could have been handled better,2022-10-19,Neta Bar
Netflix rebounds from recent subscriber losses,2022-10-19,AP and ILH Staff
Israel weighing measures in response to Australia revoking capital recognition,2022-10-19,Ariel Kahana and Tamir Morag
Iranian climber who competed without hijab gets hero's welcome at home,2022-10-19,AP and ILH Staff
Election adverts show politicians could not be more detached from reality,2022-10-19,Noam Fathi
"As drones target civilian areas, Ukraine to formally ask Israel for air defense systems",2022-10-19,"Neta Bar, Tamir Morag, Eldad Beck and JNS"
8 arrested on suspicion of aiding terrorist who killed IDF soldier,2022-10-18,JNS and ILH Staff
Zelenskyy to publish book of wartime speeches,2022-10-18,AP and ILH Staff
Worries mount as Iranian climber who competed without hijab reportedly goes missing,2022-10-18,i24NEWS and ILH Staff
Election 2022: A rundown of parties and their leaders,2022-10-18,David Isaac/JNS
US warns on war crimes after Iran-made suicide bombs sow terror in Ukraine,2022-10-18,AP and ILH Staff
Herzog to travel to US at Biden's invitation,2022-10-18,"Ariel Kahana, Yori Yalon and i24NEWS"
US launches student loan forgiveness application website,2022-10-18,AP and ILH Staff
Lapid blasts Australian decision to reverse capital recognition,2022-10-18,"Ariel Kahana, Tamir Morag and Reuters"
Ukraine says Kyiv 'hit by Iranian kamikaze drones' in early morning strike,2022-10-17,"AP, Reuters and ILH Staff"
"US security guarantees in gas deal could create 'friction,' ex-envoy warns",2022-10-16,Ariel Kahana
EU official: East Med gas can wean bloc off Russian energy,2022-10-16,AP and ILH Staff
What can we learn from the new Netanyahu biographies?,2022-10-16,Ariel Kahana
"As protests continue, Russian troops turn on each other",2022-10-16,AP and ILH Staff
The strange story of PM Lapid's military service,2022-10-16,Tamir Morag
Biden 'surprised' by protesters' courage after fire in Iran's notorious prison,2022-10-16,"AP, Reuters and ILH Staff"
"Minor incidents could spark widespread unrest, defense official warns",2022-10-16,Yoav Limor
'All my family and friends turned against me when I enlisted in the IDF',2022-10-14,Hanan Greenwood
Russia to evacuate 'annexed' Kherson residents as Ukraine advances,2022-10-14,AP and ILH Staff
Casualties reported amid clashes between terrorists and IDF in Jenin,2022-10-14,"Lilach Shoval, Dana Ben-Shimon and News Agencies"
Trump subpoenaed to testify on involvement in Capitol riots,2022-10-14,i24NEWS and ILH Staff
18 arrested as violence continues to escalate in east Jerusalem,2022-10-14,Yori Yalon and i24NEWS
Lebanese president approves maritime deal with Israel,2022-10-14,AP and ILH Staff
"Russian nuclear strike likely to provoke 'physical response,' NATO official says",2022-10-13,Reuters and ILH Staff
UN demands Russia reverse annexations in Ukraine,2022-10-13,AP and ILH Staff
FDA warns of ADHD drug shortage on Teva manufacturing delays,2022-10-13,Reuters and ILH Staff
Israel dealt a blow to Hezbollah â but at a premium,2022-10-13,Ariel Kahana
NYT: Israel providing Ukraine with intel on Iranian drones used by Russia,2022-10-13,Damian Pachter and AP
Forces wounded after violent riots erupt in east Jerusalem,2022-10-13,i24NEWS and ILH Staff
German politician condemned for dancing on Holocaust memorial,2022-10-13,AP and ILH Staff
"'Gas deal not only preserves, but enhances Israeli security'",2022-10-13,Reuters and ILH Staff
Popular Israeli coffee chain damaged in Russia's Kyiv strike,2022-10-12,ILH Staff
Left-wing lawmaker causes uproar after saying IDF 'executes' Palestinian children,2022-10-12,Yehuda Shlezinger
Meta's Quest Pro virtual reality headset makes debut,2022-10-12,Reuters and ILH Staff
LA Holocaust Museum invites Kanye West after antisemitic rant,2022-10-12,JNS and ILH Staff
Mobilization spikes Russians' interest in literature on Nazi era,2022-10-12,David Baron
WATCH: Thousands gather at Western Wall for Priestly Blessing,2022-10-12,Hanan Greenwood
Biden: I don't think Putin will use nuclear weapon,2022-10-12,i24NEWS and ILH Staff
"'Murder, She Wrote' actress Angela Lansbury dies at 96",2022-10-12,Eran Itzkovitch and Reuters
"With terror wave at peak, IDF has several courses of action",2022-10-12,Lilach Shoval
US says Israel-Lebanon gas deal to 'formally end' maritime dispute,2022-10-12,AP and ILH Staff
"A deal with unanswered questions, uncertain approval",2022-10-11,Ariel Kahana
IDF soldier dies following shooting attack in Samaria,2022-10-11,"i24NEWS, Reuters and ILH Staff"
Biden vows air defense systems for Ukraine after missiles hit civilian areas,2022-10-11,AP and ILH Staff
Bennett mulling resignation as PM-designate,2022-10-11,JNS and ILH Staff
Tourists flock to Japan after COVID restrictions lifted,2022-10-11,AP and ILH Staff
Report: Over 90% of slanted articles in top US campus papers biased against Israel,2022-10-11,Chanidu Gamage/JNS
"Israel, Lebanon poised to end maritime dispute as sides announce breakthrough",2022-10-11,Reuters and ILH Staff
"Noa Lazar, soldier killed in Jerusalem checkpoint attack, laid to rest",2022-10-11,Yaron Doron and i24NEWS
Massive attack on Kyiv leaves widespread destruction days after Russian landmark hit,2022-10-10,AP and ILH Staff
Israeli NGO gets US Supreme Court nod in bid to hold social media accountable for terror,2022-10-09,Ariel Kahana
Exclusive: Wife of Nobel Prize winner reveals how she tried break the news,2022-10-09,David Baron
Liverpool to host 2023 Eurovision Song Contest for Ukraine,2022-10-09,AP and ILH Staff
The Armenian-Azerbaijan conflict and Pallywood: The exploitation of fake Pictures,2022-10-09,Rachel Avraham
"Iran's protest movement faces united regime, distracted West",2022-10-09,Salem AlKetbi
'A time bomb': Anger rising in a hot spot of Iran protests,2022-10-09,AP and ILH Staff
Russian strikes kill 17 in Ukraine following bridge attack,2022-10-09,AP and ILH Staff
"As terrorism rears its head, Israel has to make key decisions",2022-10-09,Yoav Limor
"Netanyahu has not changed, but he sounds different. What happened?Â",2022-10-08,Mati Tuchfeld
Terrorist identified after deadly shooting attack in capital,2022-10-08,ILH Staff
"US carrier, S. Korea warships start new drills amid tensions",2022-10-07,AP and ILH Staff
"Thais mourn dozens, mainly kids, killed in day care attack",2022-10-07,AP and ILH Staff
Plight of Russia's neighbors gets Nobel peace prize nod,2022-10-07,AP and ILH Staff
Game of chicken with Lebanon could have far-reaching consequences,2022-10-07,Yoav Limor
Biden fears Armageddon if Russia uses nuclear weapons,2022-10-07,Reuters and ILH Staff
France lambasts Iran after spying 'confession' aired,2022-10-07,Reuters and ILH Staff
Turkey appoints new ambassador to Israel as ties warm,2022-10-07,AP and ILH Staff
Gantz instructs IDF to prepare for escalation as Lebanese gas deal hits snag,2022-10-07,Reuters and ILH Staff
Over 30 killed in shocking childcare center attack in Thailand,2022-10-06,Neta Bar and AP
WATCH: Pod of false killer whales makes rare visit to Gulf of Eilat,2022-10-06,Assaf Golan
'They're not alone:' Iranian-Americans support protesters for regime change,2022-10-06,Karmel Melamed/JNS
Israel Hayom poll predicts election tie in Nov. 1 vote,2022-10-06,Mati Tuchfeld
Netanyahu released from hospital after feeling unwell on Yom Kippur,2022-10-06,i24NEWS and ILH Staff
'Growing Iran-Russia ties will bring Israel and Ukraine closer together',2022-10-06,David Baron
We have a dream: An Israeli's journey through black America,2022-10-05,Ariel Kahana
Unverified reports say Russia's 'secretive nuclear unit' moving equipment west,2022-10-04,ILH Staff
Nobel prize for physics goes to 3 who won Israeli award in 2010,2022-10-04,AP and ILH Staff
Musk in row with Zelenskyy over Russia 'peace plan',2022-10-04,i24NEWS and ILH Staff
Trump files $475 million defamation lawsuit against CNN,2022-10-04,AP and ILH Staff
North Korea sends missile soaring over Japan in escalation,2022-10-04,AP and ILH Staff
'Israel is the strongest country in the Middle East; we have an answer for everything',2022-10-04,Yehuda Shlezinger and Yoav Limor
"1,400-year-old gold coins discovered in northern Israel",2022-10-04,JNS and ILH Staff
Lawyers in Russia overwhelmed by requests to help avoid fighting in Ukraine,2022-10-04,Reuters and ILH Staff
"Israel, EU renew diplomatic-strategic dialogue after decade-long hiatus",2022-10-04,JNS and ILH Staff
Defense minister visits Azerbaijan for security talks,2022-10-04,Lilach Shoval and JNS
"Lapid's associates defend maritime deal, say 'every negotiation is compromise'",2022-10-04,Yehuda Shlezinger
WATCH: Israeli settler leader takes action as terror attack unfolds,2022-10-03,Hanan Greenwood
Novak Djokovic wins Tel Aviv tournament for 89th title,2022-10-03,JNS and ILH Staff
125 dead after tear gas triggers crush at Indonesia soccer match,2022-10-03,AP and ILH Staff
Spain holds nail-biting competition to build biggest human tower,2022-10-03,Reuters and ILH Staff
Britain scraps tax cut for wealthy that sparked market turmoil,2022-10-03,AP and ILH Staff
Former Trump official says gas deal gives '100% to Lebanon and 0% to Israel',2022-10-03,Ariel Kahana
Israel set to spend millions on Russian olim as mobilization leads to exodus,2022-10-03,JNS and ILH Staff
Former Egoz commander dismissed after lying in investigation,2022-10-03,Lilach Shoval
2 terrorists dead after attempted car ramming on IDF soldiers,2022-10-03,i24NEWS and ILH Staff
Maritime agreement: A tactical concession for the sake of strategic gain,2022-10-03,Yoav Limor
"'If signed, Israel and Lebanon will reap benefits of border deal for years to come'",2022-10-03,ILH Staff
Netanyahu: Emerging gas deal with Lebanon may not be binding,2022-10-02,"Ariel Kahana, Tamir Morag, Reuters and ILH Staff"
Latest anti-Israel measure at Berkeley Law raises concern in Jerusalem,2022-10-02,Tamir Morag and ILH Staff
Israel thwarts Islamic State plot against 'infidel' students,2022-10-02,i24NEWS and ILH Staff
"Biden says rabbis 'provide strength, hope every single day'",2022-10-02,Mike Wagenheim/JNS
Israeli wounded in northern Samaria terror attack,2022-10-02,JNS and ILH Staff
'The Ukrainian flag is already in Lyman',2022-10-02,AP and ILH Staff
"Amid Hezbollah threats, Lebanon says US draft on maritime border with Israel 'positive'",2022-10-02,"AP, Reuters and ILH Staff"
"US vows Putin won't 'get away' with illegal annexation, Ukraine submits NATO bid",2022-10-01,AP and ILH Staff
US asks Israel to launch investigation after boy dies during riots,2022-09-30,Reuters and ILH Staff
Holocaust survivor who escaped synagogue massacre dies,2022-09-30,AP and ILH Staff
Former Iranian empress praises women protesters in Iran,2022-09-30,i24NEWS and ILH Staff
'Checkmate is inevitable; any defeat in the war will lead to changes in Russia',2022-09-30,David Baron
Russian strike kills 25 as Kremlin moves to annex Ukraine regions,2022-09-30,AP and ILH Staff
Judge forbids Yamina defector from running in Likud list,2022-09-29,i24NEWS and ILH Staff
"Stocks rally, bonds soar in relief after UK calms markets",2022-09-29,AP and ILH Staff
Italy's Meloni: Friend or foe of the Jews?,2022-09-29,Jonathan S. Tobin
US downs Iranian drone appearing to threaten forces in Iraq,2022-09-29,ILH Staff
US concerned with far-right MK becoming minister in future Israeli government,2022-09-29,Ariel Kahana
'She wanted to live a normal and happy life',2022-09-29,Reuters and ILH Staff
Judea and Samaria faces threat of escalation not seen in years,2022-09-29,Yoav Limor
Israeli singer to appear at special Yeshiva University event,2022-09-28,ILH Staff
Leader of extreme Jewish sect arrested in southern Mexico,2022-09-28,AP and ILH Staff
Ian powers up to a Category 4 hurricane as it nears Florida,2022-09-28,AP and ILH Staff
Brother of Dizengoff terrorist killed in Jenin shootout,2022-09-28,ILH Staff
"Israeli Olympic medalist comes out, reveals girlfriend",2022-09-28,ILH Staff
Italy's Meloni assures Ukraine it can count on her,2022-09-28,Reuters
Israel Hayom's founding publisher Asher Baharav passes away,2022-09-28,Assaf Golan
Israel Hayom survey reveals most popular travel destinations this Jewish holiday season,2022-09-28,ILH Staff
Security forces thwart attempt to derail trail in northern Israel,2022-09-28,Michel Makhoul
"In rare anti-Russian rhetoric, Israel says won't recognize Ukraine annexation votes",2022-09-28,"David Baron, Tamir Morag, Ariel Kahana and News Agencies"
'We were wrong to talk about unity; instead we should focus on respecting one another',2022-09-25,Yehuda Shlezinger
'I heard a voice asking me whether I wanted to return to my body or pass through a door of light',2022-09-25,Ran Puni
WATCH: Herzog's Rosh Hashanah message to the Jewish people,2022-09-25,JNS and ILH Staff
"'Treat Iran like pariah,' Haley tells Biden administration",2022-09-25,David Isaac/JNS
"Raisi slams US, vows to act decisively amid intensifying 'Hijab protest'",2022-09-25,Reuters and ILH Staff
Terrorist behind recent attack killed in northern Samaria,2022-09-25,AP and ILH Staff
Rosh Hashanah meals become feeding frenzy for retailers,2022-09-25,Assaf Golan
The numbers are in: What's in store for Israel's population?,2022-09-25,Hili Yacobi-Handelsman
'Does Israel have the ability to stop Iran from becoming nuclear? The answer is yes',2022-09-25,Yehuda Shlezinger
"Israel conflicted on Ukraine war approach due to ideological, geopolitical reasons",2022-09-23,Ariel Kahana
Revealed: How Iran took over Syria's secret missile production operation,2022-09-23,Yoav Limor
Study: Participants 'far more likely' to return to Israel after long-term programs,2022-09-23,JNS and ILH Staff
Lapid's call for Palestinian statehood defines upcoming election,2022-09-23,Alex Traiman
PA blasts potential British embassy move to Jerusalem as 'blatant violation',2022-09-23,i24NEWS and ILH Staff
Tens of thousands attend pre-Rosh Hashanah prayers at Western Wall,2022-09-23,Hanan Greenwood
Iranian president cancels interview after news anchor refuses to wear hijab,2022-09-23,AP and ILH Staff
Terrorist killed after injuring 3 Israelis in stabbing attack,2022-09-23,JNS and ILH Staff
Condemnation and praise: PM's support for two-state solution draws mixed reactions,2022-09-23,Ariel Kahana
"Ready or not, here comes Rosh Hashanah",2022-09-22,Judy Lash Balint/JNS
"Russia-Ukraine prisoner swap includes Mariupol defenders, Putin ally",2022-09-22,AP and ILH Staff
"South Korea, Japan hold first bilateral talks since 2019",2022-09-22,Reuters and ILH Staff
Palestinian arrested after ramming through Ben-Gurion airport entry,2022-09-22,i24NEWS and ILH Staff
Fox News joins ZOA in exposing ADL and joins JNS editor Tobin in urging firing ADL CEO Jonathan Greenblatt,2022-09-22,Morton A. Klein and Elizabeth Berney
'I could have died': Dramatic footage reveals moment Tel Aviv sinkhole opened,2022-09-22,Avi Cohen
Iranian woman to Israel Hayom: We need world's help in hijab protests,2022-09-22,Damian Pachter
Israel braces for aliyah wave from Russia following mobilization,2022-09-22,Tamir Morag
Report: British PM Truss considering moving embassy to Jerusalem,2022-09-22,Ariel Kahana and i24NEWS
Lapid faces backlash for reported plan to back two-state solution in UN address,2022-09-22,"Tamir Morag, Michel Makhoul and Hanan Greenwood"
Internet restricted in Iran as crackdown grows on spreading protests,2022-09-21,Reuters and ILH Staff
"Federer's farewell to be in doubles; comeback? 'No, no, no'",2022-09-21,AP and ILH Staff
The king's test: Will Charles III squander his newfound popularity?,2022-09-21,Ram Liran
Aviram Foundation chooses Morocco for 2023 award contest,2022-09-21,ILH Staff
World leaders convene at UN as they grapple with global turbulence,2022-09-21,AP and ILH Staff
Will Iran's clerics survive the latest wave of unrest?,2022-09-21,AP and ILH Staff
Palestinians reach truce to end West Bank clashes,2022-09-21,AP and ILH Staff
Israeli PM meets Turkish president after 14-year hiatus,2022-09-21,Ariel Kahana and ILH Staff
"Putin mobilizes 300,000 troops, touts 'means of destruction'",2022-09-21,AP and ILH Staff
Palestinian terrorist found dead day after killing Israeli woman,2022-09-21,AP and ILH Staff
Larger-than-life monarch brought UK together for final act,2022-09-20,Ram Liran
Suzanne Patt Benvenisti joins Hadassah's Israel offices as deputy executive director,2022-09-20,ILH Staff
IDF arrests 8 terror suspects in overnight raid,2022-09-20,"Lilach Shoval, Hanan Greenwood and JNS"
PM sends implicit warning to Hezbollah as Karish gas production nears,2022-09-20,AP and ILH Staff
Irit Lillian tapped as new Israeli ambassador to Turkey,2022-09-20,"Ariel Kahana, Tamir Morag and JNS"
Asia shares rise on US rally ahead of expected Fed rate hike,2022-09-20,AP and ILH Staff
5 killed in Iran as unrest over woman's death reaches capital,2022-09-20,AP and ILH Staff
Russian judge grants delay in Jewish Agency trial,2022-09-20,Tamir Morag
UK ambassador 'optimistic' King Charles will visit Israel,2022-09-20,Ram Liran
Israel launches operation to confiscate terror-linked funds,2022-09-20,Yoav Limor
"At Israel Hayom conference, PM calls on Israelis to join effort to bolster law enforcement",2022-09-19,Assaf Golan
US confirms release of American in exchance for Taliban official,2022-09-19,Reuters and ILH Staff
"'We have no plans whatsoever,' Iran says on prospect of UN summit with Biden",2022-09-19,AP and ILH Staff
Lapid hits back after Iranian leader claims only 'some signs' of Holocaust exist,2022-09-19,JNS and ILH Staff
Popular travel site plans to warn visitors of crossing Green Line,2022-09-19,i24NEWS and ILH Staff
Jews who fled Ukraine to get special aid for Rosh Hashanah under new initiative,2022-09-19,Efrat Forsher
Sources: Lapid might bypass Knesset by holding secret vote on border deal with Lebanon,2022-09-19,Ariel Kahana
"Britain, world say last farewell to Queen Elizabeth II",2022-09-19,Reuters and ILH Staff
Syrian state media accuses Israel of strike that kills 5 soldiers,2022-09-18,AP and ILH Staff
Pro-Palestinian groups voice outrage over addition of Israeli heroine to Marvel,2022-09-18,i24NEWS and ILH Staff
Israel nixes reprimand after Chile sets date to confirm ambassador,2022-09-18,Reuters and ILH Staff
Ukraine to dominate annual gathering at UN,2022-09-18,Reuters and ILH Staff
On Her Majesty's Secret Service: How James Bond saved the British crown,2022-09-18,Yuval Rivlin
Iran leader appears in public despite reported ill health,2022-09-18,"AP, i24NEWS and ILH Staff"
Iran police fire tear gas at protests at funeral of woman who died in custody,2022-09-18,AP and ILH Staff
Major traffic disruptions in Tel Aviv after sinkhole opens on highway,2022-09-18,Yaron Doron and i24NEWS
US silence delaying German procurement of Israel's Arrow 3 defense system,2022-09-18,Ariel Kahana
"As Israel and Turkey continue to reconcile, Lapid to meet Erdogan at UN",2022-09-18,Ariel Kahana
"IDF chief headed to Europe to discuss Iranian threat, forge military ties",2022-09-18,ILH Staff
'I believe that the existence of Israel is vital and I will make every effort to invest in greater cooperation between our countries',2022-09-16,Eldad Beck
'The threat from Iran is growing to levels not seen before â and it will intensify',2022-09-16,Yoav Limor
Ukraine war not only reason for Europe's upcoming cold winter,2022-09-16,Ariel Kahana
'Russia leaves death everywhere': Ukraine finds mass grave near recaptured town,2022-09-16,AP and ILH Staff
Balad drops bomb by pulling out of Joint Arab List ahead of election,2022-09-16,Amir Ettinger
Chile apologizes after president refuses Israeli ambassador's credentials,2022-09-16,Tamir Morag
Manhunt underway after yeshiva student shot at in Carmel settlement,2022-09-16,Hanan Greenwood and JNS
Lapid to Emirati foreign minister: We are changing the Middle East,2022-09-16,Tamir Morag and JNS
"Putin, Zelenskyy court major allies as Ukraine makes gains",2022-09-15,AP and ILH Staff
Is Moscow's invitation to Hamas a warning to Israel?,2022-09-15,David Isaac/JNS
"Iran nuclear deal 'in emergency room,' defense minister says",2022-09-15,Reuters and ILH Staff
Mazel tov! Jonathan Pollard announces engagement,2022-09-15,Yori Yalon
UAE foreign minister to meet Lapid in Jerusalem,2022-09-15,JNS and ILH Staff
Building bridges: Israel Hayom partners with Emirati daily Al-Ittihad,2022-09-15,ILH Staff
Right-wing group calls to disqualify Arab party from election,2022-09-15,ILH Staff
"Likud presents final Knesset list, includes Yamina defectors Silman, Chikli",2022-09-15,Amir Ettinger
"Maj. Bar Falah laid to rest, remembered for his 'love of country'",2022-09-15,Yaron Doron
WATCH: Wild boar surprises Haifa woman after breaking window,2022-09-14,Michel Makhoul
Messi arrives in Israel for Champions League match,2022-09-14,i24NEWS and ILH Staff
Israel provides US information to justify banning of Palestinian NGOs,2022-09-14,JNS and ILH Staff
"'In 2 to 3 years, the UAE will be among Israel's 10 most important trading partners'",2022-09-14,i24NEWS and ILH Staff
Probe underway in Vermont over alleged antisemitism on campus,2022-09-14,AP and ILH Staff
IDF officer killed by terrorists in overnight attack near Jenin,2022-09-14,ILH Staff and Reuters
New wildfires hit southwestern France amid record heat,2022-09-13,AP and ILH Staff
Iconic French New Wave director Jean-Luc Godard dead at 91,2022-09-13,AP and ILH Staff
"Gantz sounds alarm at UN, says Iran 'tripled Fordow enrichment capacity'",2022-09-13,Lilach Shoval
"Having survived his father's Haredi cult, Aviad Ambash looks to the future",2022-09-13,Michal Yaakov Yitzhaki
Israel to get rare coin minted by Jews 'as show of independence' against Rome,2022-09-13,Neta Bar and ILH Staff
"Generation gap? As Arab vendors worry about making a living, youth focus on Al-Aqsa",2022-09-13,Dana Ben-Shimon
Shaked: I will recommend Netanyahu for prime minister,2022-09-13,Yehuda Shlezinger
Government to evaluate shortening 'insane' hospital shifts,2022-09-13,i24NEWS and ILH Staff
Meretz-Labor union would bode well for Netanyahu; Shaked unlikely to enter Knesset,2022-09-13,Mati Tuchfeld
'Israel can rest assured that Germany will always stand by its side',2022-09-13,Ariel Kahana
'We want our leader to be strong not because of Israel's generosity',2022-09-12,Dana Ben-Shimon
Iran claims new drones 'designed to hit Tel Aviv' as Israel warns regime from reprisals,2022-09-12,Reuters and ILH Staff
Poitras documentary wins top prize at Venice Film Festival,2022-09-12,AP and ILH Staff
"Montenegro wrestles with massive cyberattack, Russia blamed",2022-09-12,AP and ILH Staff
Sweden's anti-immigration party to be 2nd largest in parliament,2022-09-12,AP and ILH Staff
Shin Bet chief: Captured terrorists monitor Israeli politics,2022-09-12,ILH Staff
Construction of Adelson cancer center gets underway,2022-09-12,Assaf Golan
Alleged 'Tinder Swindler' takes part in special prayers for forgiveness,2022-09-12,Eran Swissa
Rabbi gives religious Jew permission to violate Shabbat for satellite launch,2022-09-12,Hanan Greenwood
"Hezbollah attack on Karish gas field would be 'major miscalculation,' official says",2022-09-12,"Tamir Morag, Ariel Kahana and Lilach Shoval"
An overlooked powerhouse: The fascinating sultanate that Israelis would love to visit,2022-09-11,Yoav Limor
US remembers 9/11 victims 21 years later,2022-09-11,AP and ILH Staff
NYT faults Hassidic schools for 'systematically denying' basic education,2022-09-11,Hanan Greenwood
"Amid Iran tensions, Gantz heads to US for talks with UN officials",2022-09-11,JNS and ILH Staff
WATCH: Guatemalan foreign minister sings Hatikvah,2022-09-11,Ariel Kahana
"Herzog hails Queen Elizabeth II as 'icon of stability,' to represent Israel at funeral",2022-09-11,Tamir Morag and JNS
"Shaked, Hendel end short-lived partnership; Lapid unsuccessful at uniting Left",2022-09-11,Amir Ettinger and i24NEWS
Israeli actress Shira Haas to join Marvel cinematic universe,2022-09-11,i24NEWS and ILH Staff
Ukrainian gains prompt Russian military to withdraw from Kharkiv area,2022-09-11,AP and ILH Staff
'Nuclear deal will be delayed at least until after US midterm elections',2022-09-11,"Tamir Morag, Ariel Kahana and Damian Pachter"
Israelis in London bid farewell to Queen Elizabeth II,2022-09-11,Eldad Beck
