Title,Date,Author
"
Palestinian accused of assaulting Israeli settler released by court on Thursday
",2022-09-22,Hagar Shezaf
"
Israeli police fire gas grenades in Palestinian neighborhood for no apparent reason
",2022-09-22,Jack Khoury
"
Struggling with high prices? Israel’s national shopping spree says otherwise
",2022-09-22,David Rosenberg
"
Israel Police chief backs officer who shot disabled Palestinian man
",2022-09-22,Josh Breiner
"
Palestinian arrested after crashing through security barrier at Israel's airport
",2022-09-22,Ran Shimoni
"
U.K. could move embassy to Jerusalem, Truss tells Lapid
",2022-09-22,Haaretz
"
Panicking over military call-up, young Russian men scramble to leave country
",2022-09-22,Liza Rozovsky
"
Bulldozers demolish permitted Bedouin protest tents erected against housing shortage
",2022-09-22,Nati Yefet
"
With the uprising in Nablus, the Palestinian Authority's fall becomes a palpable threat
",2022-09-22,Jack Khoury
Israel wants another intifada,2022-09-22,Gideon Levy
Are you in therapy?,2022-09-22,Anat Kamm
The rules for a unity government,2022-09-21,Sami Peretz
The great surrender is underway,2022-09-21,Uri Misgav
"Block police chief Shabtai, not social media",2022-09-21,Haaretz Editorial
"
Iran's 'hijab war' won't diminish its anti-Western identity
",2022-09-21,Zvi Bar'el
"
Top cop: Thousands of Palestinians enter Israel illegally, daily
",2022-09-21,Josh Breiner
"
Meretz seeks to disqualify second coalition defector from running on Likud list
",2022-09-21,Michael Hauser Tov
Israel holds 1972 Munich Olympics memorial,2022-09-21,DPA
"
'Terror state': Lapid's plan to promote two-state solution at UN faces domestic backlash
",2022-09-21,Haaretz
"
Putin faces one of the most defiant moves since the Ukraine war began
",2022-09-21,Amir Tibon
"
Yair Lapid is betting the Israeli election on one big idea
",2022-09-21,Anshel Pfeffer
"
Israel can sign Lebanon deal during election campaign, legal counsel says
",2022-09-21,Jonathan Lis
Lapid to call for two-state solution in UN speech,2022-09-21,Jonathan Lis
Google acquires Israeli startup BreezoMeter,2022-09-21,Corin Degani 
"
Israel can revoke permits from family of Palestinian who killed IDF soldiers, court rules
",2022-09-21,Yael Freidson
"
Israel successfully tests advanced anti-ship missile system
",2022-09-21,Haaretz
Death toll climbs as Iran protests reach fifth day,2022-09-21,Reuters
How Israel's Arabs can take power,2022-09-21,Samuel Heilman
"
Iran's president: U.S. 'trampled upon' nuclear accord
",2022-09-21,The Associated Press
"
Israeli army foiled dozens of Iranian cyberattacks in past year
",2022-09-21,Amos Harel
"
'Holocaust Remembrance Day is also my Father’s Day'
",2022-09-21,Itamar Katzir
"
Emperors’ stress during Rome’s civil war revealed by doctored gold coins
",2022-09-21,Ruth Schuster
"
Billionaire Lev Leviev, accused of diamond smuggling, to be questioned by Israeli police
",2022-09-21,Gur Megiddo 
"
Life in an IDF firing zone: For these Palestinians, it's a daily nightmare
",2022-09-21,Hagar Shezaf
"
Democratic lawmakers view Jewish voters as ‘path to victory’
",2022-09-21,Ben Samuels
"
Palestinian arrested after crashing through security barrier at Ben-Gurion airport
",2022-09-22,Ran Shimoni
"
Rahat protesters held for trespassing despite permit
",2022-09-22,Nati Yefet
"
Reeling from internecine violence, Nablus seeks a rapid return to calm
",2022-09-22,Jack Khoury
"
AG allows interim gov't to sign an agreement with Lebanon, Israeli official says
",2022-09-21,Jonathan Lis
"
Lapid expected to renew calls for two-state solution in UN speech
",2022-09-21,Jonathan Lis
Cruel summer: Tourists aren't returning to Israel,2022-09-21,Hadar Kane
"
Why more and more visitors to Israel prefer to arrive by sea
",2022-09-21,Moshe Gilad
"
The Golda myth: Why women are losing power in Israeli politics
",2022-09-21,Allison Kaplan Sommer
"
'We're a democracy, but': Israel Police chief calls to block social media in next flare-up
",2022-09-21,Haaretz
"
Palestinian forces strike deal with Nablus factions after clashes
",2022-09-21,Jack Khoury
"
Dozens of soldiers entered Palestinian village in middle of the night for ‘selichot tour’
",2022-09-21,Amira Hass
Israel’s new equation with Hezbollah,2022-09-21,Zvi Bar'el
"Despite it all, we will vote",2022-09-21,Abed L. Azab
"
Meet the Arabibi-ists who could usher in another Netanyahu government
",2022-09-21,Rafi Walden
Israel is in danger of drowning,2022-09-21,Haaretz Editorial
"
Nablus erupts after arrest of Hamas men by Palestinian security forces
",2022-09-21,Jack Khoury
"
At Labor campaign launch, dancing and talk of Rabin
",2022-09-21,Shira Kadari-Ovadia 
"
Ayelet Shaked asks 'forgiveness from supporters' for joining Bennett-Lapid government
",2022-09-20,Noa Shpigel
"
Ministers, mayors, and MKs: reactions to Haaretz's report on sea level rise in Israel
",2022-09-20,Lee Yaron
"
At UN, Israeli, Turkish leaders meet for first time since 2008
",2022-09-20,Jonathan Lis
"
Russian pop icon Alla Pugacheva comes out against Putin's invasion of Ukraine
",2022-09-20,Liza Rozovsky
"
This isn't a Palestinian intifada, yet – but one serious attack could change that
",2022-09-20,Amos Harel
"
Iran faces protests, criticism after woman dies following morality police arrest
",2022-09-20,The Associated Press
"
85-year-old killed in central Israel in terror attack, police say. Manhunt underway
",2022-09-20,Ran Shimoni
"
50-year-old woman stabbed to death, becoming 77th Arab victim this year
",2022-09-20,Adi Hashmonai
"
Israel is about to lose some of its most beautiful and beloved vacation spots
",2022-09-20,Yarden Michaeli
"
Home Alone in Moscow: Even China and India are getting weary of Putin
",2022-09-20,Alon Pinkas
"
Victims of Hezbollah rockets awarded millions by U.S. court
",2022-09-20,The Associated Press
"
Romania looks set to be first European country to buy Israel's Iron Dome
",2022-09-20,Yossi Melman
"
One year in, no one knows what the police's Arab Community Crime Prevention unit does
",2022-09-20,Josh Breiner
"
Elizabeth Diller changed the face of Moscow: ‘Regimes come and go, architecture remains’
",2022-09-20,Naama Riba
"
Is anything still left of the Israeli Left? LISTEN to Nir Baram
",2022-09-20,Haaretz Weekly
"
As Israel reins in its cyberarms industry, an ex-intel officer is building a new empire
",2022-09-20,Omer Benjakob
"
Pakistani-American delegation, including former minister, lands in Israel
",2022-09-20,Haaretz
"
‘Abortion justice is a Jewish value’: U.S. congresswomen use shofars to sound alarm
",2022-09-20,Ben Samuels
"
70% of Israelis don't recognize patrilineal Jews, report shows
",2022-09-20,Judy Maltz
"
Energy poverty in Israel: ‘I sleep on the cold floor to save electricity’
",2022-09-20,Israel Fisher
"
Key witness says Netanyahu asked billionaire Packer to acquire critical news outlet
",2022-09-20,Yael Freidson
"
The ties that bind: Erdogan says he plans to visit Israel
",2022-09-20,Haaretz
"
Facing rapid rise in sea levels, Israel could lose large parts of its coastline by 2050
",2022-09-20,Lee Yaron
"
The scorpion and the sex life of the Israeli wood louse
",2022-09-20,Ruth Schuster
"
One dead, seven wounded in clashes between Palestinians in Nablus
",2022-09-20,Jack Khoury
"
New policy to protect needy Israelis from power cuts overlooks the disabled
",2022-09-20,Bar Peleg
"
Occupation isn’t some pesky fly to be ignored with no repercussions
",2022-09-20,Anat Saragusti 
"Lapid, meet with Mahmoud Abbas",2022-09-20,Haaretz Editorial
"
Spiritual leader of anti-LGBT party is not a fringe figure
",2022-09-20,Yagil Levy
Let’s get our own nuclear bomb,2022-09-20,B. Michael
"
Military post, Israeli car come under fire in West Bank
",2022-09-19,Hagar Shezaf
"
Israel announces first ambassador to Turkey in four years
",2022-09-19,Jonathan Lis
"
Israel to announce establishment of new university in the Galilee
",2022-09-19,Lior Dattel
"
Lapid's Lebanon dilemma and why Jews and Arabs aren't long-lost cousins
",2022-09-19,Amir Tibon
"
Lapid: Production at gas rig disputed with Lebanon to begin soon as possible
",2022-09-19,Jonathan Lis
"
Two Palestinians convicted of terrorism for stoning a Jewish family's car in Jerusalem
",2022-09-19,Haaretz
"
Thousands of East Jerusalem students skip school in protest claiming censorship
",2022-09-19,Yael Freidson
"
Bong age? Israeli archaeologists find opium in Bronze Age ceramics
",2022-09-19,Ariel David
"
Israel Election: Left-wing Meretz seeks to disqualify defector MK Silman from Knesset run
",2022-09-19,Michael Hauser Tov
"In India, Queen's death pokes painful memories",2022-09-19,Oshrit Birvadker 
"
Israel arrests seven Hamas militants in West Bank reportedly planning attacks
",2022-09-19,Yaniv Kubovich
"
Jewish Google worker who quit over Israel project accuses firm of retaliation
",2022-09-19,Eitan Nechin 
Nasrallah reminds Lebanon who calls the shots,2022-09-19,Zvi Bar'el
"
Israeli company illegally cuts water to unrecognized Bedouin village
",2022-09-19,Nati Yefet
"
Taliban prisoner freed from prison, claims he was exchanged for kidnapped American
",2022-09-19,The Associated Press
"
Knesset advances bill allowing fallen soldiers' families to use their sperm
",2022-09-19,Noa Shpigel
"
COVID pushed these synagogues outdoors for Rosh Hashanah. They're never going back
",2022-09-19,Judy Maltz
Why Jews and Arabs are not long lost cousins,2022-09-19,Seraj Assi
Funeral begins for Britain's Queen Elizabeth II,2022-09-19,Reuters
"
Booking.com to add 'safety and human rights warning' to West Bank settlements
",2022-09-19,Hagar Shezaf
"
Hundreds of sea turtles suffered from waste exposure in the last two decades
",2022-09-19,Zafrir Rinat
"
Israeli troops cross into Syria, shoot at 4 suspected of throwing explosives over border
",2022-09-19,Adi Hashmonai
"
Unarmed Israeli soldiers left at West Bank post, officer falls asleep
",2022-09-19,Amos Harel
"
Testing Facebook's claim: Can we really find out how Netanyahu targets us?
",2022-09-19,Oded Yaron
"
Ken Burns’ brilliant ‘The U.S. and the Holocaust’ has only one problem
",2022-09-19,Adrian Hennigan
"
Iranian president: 'Some signs that the Holocaust happened, they need to be investigated'
",2022-09-19,Haaretz
"
New U.S. idea on maritime border with Lebanon buoys Israelis
",2022-09-19,Amos Harel
"Now it’s us, later it’s them",2022-09-19,Yael Rashlin
Ideology killed the Joint List,2022-09-19,Muhammed Khalaily
Kochavi’s preparing an intifada for us,2022-09-19,Odeh Bisharat
Gambling that occupation is forever,2022-09-19,Alexander Yakobson
No to Britain’s legal legacy,2022-09-19,Haaretz Editorial
"
Amid West Bank flare-up, Lapid seeks meeting with Jordan's king
",2022-09-19,Jonathan Lis
"
Elyakim Haetzni, West Bank settler leader, dies at age 96
",2022-09-18,Ofer Aderet
"
Elizabeth II - The Queue: The world's longest line is absurd, disturbing and beautiful
",2022-09-18,Nicole Lampert 
"
Despite recorded bribe offer, case against Betar Ilit mayor likely to be closed
",2022-09-18,Aaron Rabinowitz
"
Israel election: The full list of parties running for the Knesset
",2022-09-18,Haaretz
"
Arab politics in Israel: Ideology out, integration in
",2022-09-18,Anshel Pfeffer
"
Lapid faces huge test after earthquake in Israel's Arab politics
",2022-09-18,Amir Tibon
Jean-Luc Godard's antisemitism gets a free pass,2022-09-18,Moran Sharir
"
It's not antisemitic to expose New York's Hasidic education crisis
",2022-09-18,Joshua Shanes
"
Berlin police probing paint attack on German-Israeli Society
",2022-09-18,DPA
"
Israel approves plan to combat human trafficking, fearing drop in country's ranking
",2022-09-18,Bar Peleg
"
Israeli victims of Propecia speak out: 'I woke up into a nightmare'
",2022-09-18,Ronny Linder
"
Joint List 'won't recommend' Lapid or Gantz for premiership in upcoming Israeli election
",2022-09-18,Michael Hauser Tov
"
Even Israel's most secular government couldn't green light Shabbat public transportation
",2022-09-18,Sami Peretz
"
Chile community leaders 'horrified' by treatment of Israeli envoy
",2022-09-18,Judy Maltz
"
Israeli investigation of Shireen Abu Akleh's death fails to convince key U.S. lawmakers
",2022-09-18,Ben Samuels
"
Intact burial cave from time of Ramesses II discovered on Israeli coast
",2022-09-18,Ruth Schuster
"
Anti-Netanyahu protesters attacked in two separate incidents in central Israel
",2022-09-18,Ran Shimoni
"
Chile apologizes for refusing accreditation of Israeli envoy, reschedules ceremony
",2022-09-18,Jonathan Lis
What are these elections really about?,2022-09-18,Gideon Levy
It’s Odeh and Tibi’s turn,2022-09-18,Haaretz Editorial
"
Conservative trolling in Israel mimics its U.S. counterpart
",2022-09-18,Iris Leal
Joint List split could still bring out Arab vote,2022-09-18,Jack Khoury
"After Joint List splits, what are Lapid's options?",2022-09-17,Michael Hauser Tov
"
Israeli hospital identifies likely biological mother in embryo mix-up
",2022-09-17,Ido Efrati
"
Lapid to meet with Turkey's Erdogan during New York visit for UN General Assembly
",2022-09-17,Jonathan Lis
"
24-year-old shot dead in northern Israeli Arab town
",2022-09-17,Adi Hashmonai
"
Tel Aviv sinkhole: Train services resume, but some highway exits still blocked
",2022-09-17,Ran Shimoni
"
Iranian police fire tear gas at rally after funeral of woman who died after hijab arrest
",2022-09-17,The Associated Press
"
Iran's Supreme Leader Khamenei seen at ceremony amid reports of ill health
",2022-09-17,Haaretz
"
As Ukraine makes gains, Israel's appreciation of Russian capabilities is cooling off
",2022-09-17,Amos Harel
"
Five soldiers killed in Israeli airstrike near Damascus, Syrian state news says
",2022-09-17,Jack Khoury
Israel's leftist neocons spurn Merav Michaeli,2022-09-16,Ravit Hecht
"
Parties that formerly comprised the Joint List can't decide who's to blame for the split
",2022-09-16,Jack Khoury
Putin is proving that Obama was right about Russia,2022-09-16,Alon Pinkas
"
Israel election: Netanyahu bloc one seat short of majority in latest poll
",2022-09-16,Haaretz
"
Jordanian Foreign Minister: 'Unilateral measures' by Israel undermine two-state solution
",2022-09-16,Ben Samuels
"
New footage shows Israel's raid on a Palestinian rights group
",2022-09-16,Hagar Shezaf
"
In the negotiations over the new nuclear deal, Iran is walking a very fine line
",2022-09-16,Zvi Bar'el
"
I thought I put a stop to Shin Bet torture . I was wrong
",2022-09-16,Avigdor Feldman
"
How many Arabs live between the Jordan River and the sea? A mystery no one wants to solve
",2022-09-16,Michael Milshtein
"
They were meant to die in Auschwitz. Then, suddenly, they came home
",2022-09-16,Chaim Even-Zohar
"
Palestinian farmer discovers a stunning Byzantine mosaic in Gaza
",2022-09-16,Ofer Aderet
"
Israel election: Arab party may have granted Netanyahu his dream of a Knesset majority
",2022-09-16,Yossi Verter
"
Zelenskyy: Ukrainian army finds mass graves in city liberated from Russians
",2022-09-16,Haaretz
"
U.S. Capitol 'Camp Auschwitz' rioter sentenced to prison
",2022-09-16,Haaretz
"
Israel reprimands Chilean ambassador as diplomatic crisis between the two countries grows
",2022-09-16,Jonathan Lis
"
Turkey's Erdogan expresses desire to meet Syria's Assad
",2022-09-16,Reuters
"
From violence to collapse: Palestinian Authority faces critical weeks
",2022-09-16,Amos Harel
"
Qatar's ATM for the Palestinians is fed by the war in Ukraine
",2022-09-16,Zvi Bar'el
